pwsid,sample_id,primacy_agency_code,epa_region,sar_id,contaminant_code,result_sign_code,sample_measure,unit_of_measure
NJ0102001,NJ141952,NJ,2,18705317,PB90,,0.0,mg/L
NJ0102001,NJ147650,NJ,2,19668828,PB90,,0.0,mg/L
NJ0102001,NJ153807,NJ,2,21143722,PB90,,0.0,mg/L
NJ0102301,NJ140036,NJ,2,18407669,PB90,,0.0018,mg/L
NJ0102301,NJ140869,NJ,2,18634199,PB90,,0.001,mg/L
NJ0102301,NJ143199,NJ,2,18975720,PB90,,0.0136,mg/L
NJ0102301,NJ145205,NJ,2,19299979,PB90,,0.0026,mg/L
NJ0102301,NJ147489,NJ,2,19669357,PB90,,0.0014,mg/L
NJ0102301,NJ148974,NJ,2,20185372,PB90,,0.0031,mg/L
NJ0102301,NJ151338,NJ,2,20646222,PB90,,0.001,mg/L
NJ0102301,NJ153150,NJ,2,21027792,PB90,,0.0022,mg/L
NJ0102301,NJ155463,NJ,2,21487480,PB90,,0.044,mg/L
NJ0102301,NJ157030,NJ,2,22325064,PB90,,0.0,mg/L
NJ0102301,NJ158659,NJ,2,22718551,PB90,,0.0012,mg/L
NJ0102302,NJ139609,NJ,2,18298439,PB90,,0.0124,mg/L
NJ0102302,NJ142431,NJ,2,18904332,PB90,,0.438,mg/L
NJ0102302,NJ142432,NJ,2,18905988,CU90,,1.71,mg/L
NJ0102302,NJ144501,NJ,2,19117609,PB90,,0.003,mg/L
NJ0102302,NJ144960,NJ,2,19219184,PB90,,0.0013,mg/L
NJ0102302,NJ146290,NJ,2,19372716,PB90,,0.0014,mg/L
NJ0102302,NJ147130,NJ,2,19669359,PB90,,0.0019,mg/L
NJ0102302,NJ148218,NJ,2,19738560,PB90,,0.0031,mg/L
NJ0102302,NJ148980,NJ,2,20185375,PB90,,0.0,mg/L
NJ0102302,NJ150375,NJ,2,20313496,PB90,,0.0,mg/L
NJ0102302,NJ151162,NJ,2,20646225,PB90,,0.0011,mg/L
NJ0102302,NJ152324,NJ,2,20786459,PB90,,0.0,mg/L
NJ0102302,NJ153184,NJ,2,21027795,PB90,,0.0,mg/L
NJ0102302,NJ154358,NJ,2,21236586,PB90,,0.0,mg/L
NJ0102302,NJ154902,NJ,2,21391426,PB90,,0.0013,mg/L
NJ0102302,NJ156676,NJ,2,21906108,PB90,,0.0,mg/L
NJ0102302,NJ157506,NJ,2,22540858,PB90,,0.0,mg/L
NJ0102302,NJ158862,NJ,2,22718554,PB90,,0.0,mg/L
NJ0103001,NJ143054,NJ,2,18975121,PB90,,0.00353,mg/L
NJ0103001,NJ144417,NJ,2,19116977,PB90,,0.00294,mg/L
NJ0103001,NJ145009,NJ,2,19299262,PB90,,0.0038,mg/L
NJ0103001,NJ146334,NJ,2,19467648,PB90,,0.00392,mg/L
NJ0103001,NJ146978,NJ,2,19668830,PB90,,0.00295,mg/L
NJ0103001,NJ148296,NJ,2,20049519,PB90,,0.0032,mg/L
NJ0103001,NJ148883,NJ,2,20114491,PB90,,0.0,mg/L
NJ0103001,NJ150473,NJ,2,20444295,PB90,,0.00234,mg/L
NJ0103001,NJ151099,NJ,2,20645523,PB90,,0.00222,mg/L
NJ0103001,NJ152419,NJ,2,20785936,PB90,,0.00409,mg/L
NJ0103001,NJ153320,NJ,2,21027141,PB90,,0.00284,mg/L
NJ0103001,NJ154474,NJ,2,21235919,PB90,,0.0,mg/L
NJ0103001,NJ154785,NJ,2,21390849,PB90,,0.00345,mg/L
NJ0103001,NJ156535,NJ,2,21905202,PB90,,0.00143,mg/L
NJ0103001,NJ157500,NJ,2,22539952,PB90,,0.0,mg/L
NJ0103001,NJ158903,NJ,2,22717718,PB90,,0.0,mg/L
NJ0104003,NJ140940,NJ,2,18633718,PB90,,0.00304,mg/L
NJ0104003,NJ146935,NJ,2,19668831,PB90,,0.00274,mg/L
NJ0104003,NJ153319,NJ,2,21027142,PB90,,0.0,mg/L
NJ0105001,NJ143538,NJ,2,18975122,PB90,,0.0,mg/L
NJ0105001,NJ149453,NJ,2,20312770,PB90,,0.0,mg/L
NJ0105001,NJ156120,NJ,2,21905203,PB90,,0.0013,mg/L
NJ0105002,NJ143878,NJ,2,19035889,PB90,,0.0095,mg/L
NJ0105002,NJ149486,NJ,2,20312771,PB90,,0.00561,mg/L
NJ0105002,NJ155398,NJ,2,21486791,PB90,,0.01,mg/L
NJ0105300,NJ139477,NJ,2,18298442,PB90,,0.00714,mg/L
NJ0105300,NJ141646,NJ,2,18827482,PB90,,0.00607,mg/L
NJ0105300,NJ142711,NJ,2,18975723,PB90,,0.00353,mg/L
NJ0105300,NJ144464,NJ,2,19117611,PB90,,0.0046,mg/L
NJ0105300,NJ145003,NJ,2,19219187,PB90,,0.0033,mg/L
NJ0105300,NJ146315,NJ,2,19468103,PB90,,0.00653,mg/L
NJ0105300,NJ146933,NJ,2,19669365,PB90,,0.00679,mg/L
NJ0105300,NJ148849,NJ,2,20313497,PB90,,0.00259,mg/L
NJ0105300,NJ151164,NJ,2,20646226,PB90,,0.00643,mg/L
NJ0105300,NJ153322,NJ,2,21027797,PB90,,0.0035,mg/L
NJ0105300,NJ155311,NJ,2,21487483,PB90,,0.00602,mg/L
NJ0105304,NJ144019,NJ,2,19036522,PB90,,0.0,mg/L
NJ0105304,NJ146555,NJ,2,19468105,PB90,,0.0,mg/L
NJ0105304,NJ149391,NJ,2,20185376,PB90,,0.0199,mg/L
NJ0105304,NJ151090,NJ,2,20646230,PB90,,0.00213,mg/L
NJ0105304,NJ154938,NJ,2,21391429,PB90,,0.0,mg/L
NJ0105304,NJ154952,NJ,2,21393077,CU90,,2.37,mg/L
NJ0105304,NJ156633,NJ,2,21906124,PB90,,0.0,mg/L
NJ0105304,NJ156639,NJ,2,21908285,CU90,,2.18,mg/L
NJ0105304,NJ157315,NJ,2,22325083,PB90,,0.0,mg/L
NJ0105304,NJ158907,NJ,2,22718568,PB90,,0.00206,mg/L
NJ0105309,NJ141142,NJ,2,18634202,PB90,,0.0014,mg/L
NJ0105309,NJ144633,NJ,2,19219191,PB90,,0.0042,mg/L
NJ0105309,NJ146158,NJ,2,19372723,PB90,,0.0033,mg/L
NJ0105309,NJ146865,NJ,2,19669369,PB90,,0.0021,mg/L
NJ0105309,NJ148160,NJ,2,20313501,PB90,,0.0079,mg/L
NJ0105309,NJ148626,NJ,2,20313502,PB90,,0.00382,mg/L
NJ0105309,NJ150301,NJ,2,20313503,PB90,,0.00312,mg/L
NJ0105309,NJ150686,NJ,2,20539689,PB90,,0.00339,mg/L
NJ0105309,NJ152117,NJ,2,20725436,PB90,,0.00348,mg/L
NJ0105309,NJ152676,NJ,2,20896042,PB90,,0.00356,mg/L
NJ0105309,NJ154249,NJ,2,21144453,PB90,,0.00336,mg/L
NJ0105309,NJ155315,NJ,2,21487487,PB90,,0.00331,mg/L
