pwsid,sample_id,sampling_end_date,sampling_start_date,reconciliation_id,primacy_agency_code,epa_region
NJ0102001,NJ141952,2017-12-31 00:00:00,2015-01-01 00:00:00,,NJ,2
NJ0102001,NJ147650,2020-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0102001,NJ153807,2023-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0102301,NJ140036,2016-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0102301,NJ140869,2017-12-31 00:00:00,2017-01-01 00:00:00,,NJ,2
NJ0102301,NJ143199,2018-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0102301,NJ145205,2019-12-31 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0102301,NJ147489,2020-12-31 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0102301,NJ148974,2021-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0102301,NJ151338,2022-12-31 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0102301,NJ153150,2023-12-31 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0102301,NJ155463,2024-12-31 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0102301,NJ157030,2025-06-30 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0102301,NJ158659,2025-12-31 00:00:00,2025-07-01 00:00:00,,NJ,2
NJ0102302,NJ139609,2016-06-30 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0102302,NJ142431,2018-06-30 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0102302,NJ142432,2018-06-30 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0102302,NJ144501,2018-12-31 00:00:00,2018-07-01 00:00:00,,NJ,2
NJ0102302,NJ144960,2019-06-30 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0102302,NJ146290,2019-12-31 00:00:00,2019-07-01 00:00:00,,NJ,2
NJ0102302,NJ147130,2020-06-30 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0102302,NJ148218,2020-12-31 00:00:00,2020-07-01 00:00:00,,NJ,2
NJ0102302,NJ148980,2021-06-30 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0102302,NJ150375,2021-12-31 00:00:00,2021-07-01 00:00:00,,NJ,2
NJ0102302,NJ151162,2022-06-30 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0102302,NJ152324,2022-12-31 00:00:00,2022-07-01 00:00:00,,NJ,2
NJ0102302,NJ153184,2023-06-30 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0102302,NJ154358,2023-12-31 00:00:00,2023-07-01 00:00:00,,NJ,2
NJ0102302,NJ154902,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0102302,NJ156676,2024-12-31 00:00:00,2024-07-01 00:00:00,,NJ,2
NJ0102302,NJ157506,2025-06-30 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0102302,NJ158862,2025-12-31 00:00:00,2025-07-01 00:00:00,,NJ,2
NJ0103001,NJ143054,2018-06-30 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0103001,NJ144417,2018-12-31 00:00:00,2018-07-01 00:00:00,,NJ,2
NJ0103001,NJ145009,2019-06-30 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0103001,NJ146334,2019-12-31 00:00:00,2019-07-01 00:00:00,,NJ,2
NJ0103001,NJ146978,2020-06-30 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0103001,NJ148296,2020-12-31 00:00:00,2020-07-01 00:00:00,,NJ,2
NJ0103001,NJ148883,2021-06-30 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0103001,NJ150473,2021-12-31 00:00:00,2021-07-01 00:00:00,,NJ,2
NJ0103001,NJ151099,2022-06-30 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0103001,NJ152419,2022-12-31 00:00:00,2022-07-01 00:00:00,,NJ,2
NJ0103001,NJ153320,2023-06-30 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0103001,NJ154474,2023-12-31 00:00:00,2023-07-01 00:00:00,,NJ,2
NJ0103001,NJ154785,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0103001,NJ156535,2024-12-31 00:00:00,2024-07-01 00:00:00,,NJ,2
NJ0103001,NJ157500,2025-06-30 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0103001,NJ158903,2025-12-31 00:00:00,2025-07-01 00:00:00,,NJ,2
NJ0104003,NJ140940,2017-12-31 00:00:00,2015-01-01 00:00:00,,NJ,2
NJ0104003,NJ146935,2020-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0104003,NJ153319,2023-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0105001,NJ143538,2018-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0105001,NJ149453,2021-12-31 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0105001,NJ156120,2024-12-31 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0105002,NJ143878,2018-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0105002,NJ149486,2021-12-31 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0105002,NJ155398,2024-12-31 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0105300,NJ139477,2016-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0105300,NJ141646,2017-12-31 00:00:00,2017-07-01 00:00:00,,NJ,2
NJ0105300,NJ142711,2018-06-30 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105300,NJ144464,2018-12-31 00:00:00,2018-07-01 00:00:00,,NJ,2
NJ0105300,NJ145003,2019-06-30 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0105300,NJ146315,2019-12-31 00:00:00,2019-07-01 00:00:00,,NJ,2
NJ0105300,NJ146933,2020-06-30 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0105300,NJ148849,2021-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0105300,NJ151164,2022-12-31 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0105300,NJ153322,2023-12-31 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0105300,NJ155311,2024-12-31 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105304,NJ144019,2018-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0105304,NJ146555,2018-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0105304,NJ149391,2021-12-31 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0105304,NJ151090,2022-06-30 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0105304,NJ154938,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105304,NJ154952,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105304,NJ156633,2024-12-31 00:00:00,2024-07-01 00:00:00,,NJ,2
NJ0105304,NJ156639,2024-12-31 00:00:00,2024-07-01 00:00:00,,NJ,2
NJ0105304,NJ157315,2025-06-30 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0105304,NJ158907,2025-12-31 00:00:00,2025-07-01 00:00:00,,NJ,2
NJ0105309,NJ141142,2017-12-31 00:00:00,2015-01-01 00:00:00,,NJ,2
NJ0105309,NJ144633,2019-06-30 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0105309,NJ146158,2019-12-31 00:00:00,2019-07-01 00:00:00,,NJ,2
NJ0105309,NJ146865,2020-06-30 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0105309,NJ148160,2020-12-31 00:00:00,2020-07-01 00:00:00,,NJ,2
NJ0105309,NJ148626,2021-06-30 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0105309,NJ150301,2021-12-31 00:00:00,2021-07-01 00:00:00,,NJ,2
NJ0105309,NJ150686,2022-06-30 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0105309,NJ152117,2022-12-31 00:00:00,2022-07-01 00:00:00,,NJ,2
NJ0105309,NJ152676,2023-06-30 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0105309,NJ154249,2023-12-31 00:00:00,2023-07-01 00:00:00,,NJ,2
NJ0105309,NJ155315,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105309,NJ156563,2024-12-31 00:00:00,2024-07-01 00:00:00,,NJ,2
NJ0105309,NJ157106,2025-06-30 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0105309,NJ158867,2025-12-31 00:00:00,2025-07-01 00:00:00,,NJ,2
NJ0105315,NJ141203,2017-12-31 00:00:00,2017-07-01 00:00:00,,NJ,2
NJ0105315,NJ142678,2018-06-30 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105315,NJ144416,2018-12-31 00:00:00,2018-07-01 00:00:00,,NJ,2
NJ0105315,NJ144997,2019-06-30 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0105315,NJ146244,2019-12-31 00:00:00,2019-07-01 00:00:00,,NJ,2
NJ0105315,NJ146934,2020-06-30 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0105315,NJ150885,2021-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0105315,NJ151084,2022-12-31 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0105315,NJ153324,2023-12-31 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0105315,NJ153331,2023-12-31 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0105315,NJ154161,2023-12-31 00:00:00,2023-07-01 00:00:00,,NJ,2
NJ0105315,NJ154783,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105315,NJ154784,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105315,NJ154787,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105315,NJ156533,2024-12-31 00:00:00,2024-07-01 00:00:00,,NJ,2
NJ0105315,NJ157474,2023-12-31 00:00:00,2023-07-01 00:00:00,,NJ,2
NJ0105315,NJ157475,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105315,NJ157549,2025-06-30 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0105323,NJ140853,2017-12-31 00:00:00,2015-01-01 00:00:00,,NJ,2
NJ0105323,NJ146851,2020-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105323,NJ150269,2017-12-31 00:00:00,2015-01-01 00:00:00,,NJ,2
NJ0105323,NJ150270,2020-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105323,NJ153323,2023-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0105331,NJ141201,2017-12-31 00:00:00,2015-01-01 00:00:00,,NJ,2
NJ0105331,NJ147294,2020-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105331,NJ153321,2023-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0105348,NJ139901,2016-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0105348,NJ140854,2017-12-31 00:00:00,2017-01-01 00:00:00,,NJ,2
NJ0105348,NJ142677,2018-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105350,NJ141032,2017-06-30 00:00:00,2017-01-01 00:00:00,,NJ,2
NJ0105350,NJ141757,2017-12-31 00:00:00,2017-07-01 00:00:00,,NJ,2
NJ0105350,NJ142506,2018-06-30 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105350,NJ144890,2017-12-31 00:00:00,2017-07-01 00:00:00,,NJ,2
NJ0105350,NJ144891,2017-06-30 00:00:00,2017-01-01 00:00:00,,NJ,2
NJ0105350,NJ144892,2018-06-30 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105350,NJ144893,2018-12-31 00:00:00,2018-07-01 00:00:00,,NJ,2
NJ0105350,NJ145128,2019-06-30 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0105350,NJ146214,2019-12-31 00:00:00,2019-07-01 00:00:00,,NJ,2
NJ0105350,NJ146705,2020-06-30 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0105350,NJ148275,2020-12-31 00:00:00,2020-07-01 00:00:00,,NJ,2
NJ0105350,NJ148893,2021-06-30 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0105350,NJ150285,2021-12-31 00:00:00,2021-07-01 00:00:00,,NJ,2
NJ0105350,NJ151117,2022-06-30 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0105350,NJ152226,2022-12-31 00:00:00,2022-07-01 00:00:00,,NJ,2
NJ0105350,NJ153286,2023-06-30 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0105350,NJ153518,2023-12-31 00:00:00,2023-07-01 00:00:00,,NJ,2
NJ0105350,NJ154966,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105350,NJ156245,2024-12-31 00:00:00,2024-07-01 00:00:00,,NJ,2
NJ0105350,NJ157658,2025-06-30 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0105350,NJ158444,2025-12-31 00:00:00,2025-07-01 00:00:00,,NJ,2
NJ0105353,NJ143915,2018-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0105353,NJ149872,2021-12-31 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0105353,NJ150105,2021-12-31 00:00:00,2021-07-01 00:00:00,,NJ,2
NJ0105353,NJ151279,2022-06-30 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0105353,NJ152291,2022-12-31 00:00:00,2022-07-01 00:00:00,,NJ,2
NJ0105353,NJ153020,2023-06-30 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0105353,NJ153566,2023-12-31 00:00:00,2023-07-01 00:00:00,,NJ,2
NJ0105353,NJ154740,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0105353,NJ156588,2024-12-31 00:00:00,2024-07-01 00:00:00,,NJ,2
NJ0105353,NJ157681,2025-06-30 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0105353,NJ158728,2025-12-31 00:00:00,2025-07-01 00:00:00,,NJ,2
NJ0105360,NJ142676,2020-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105360,NJ150265,2020-12-31 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0105360,NJ151083,2022-12-31 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0105360,NJ158364,2025-12-31 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0105398,NJ139957,2016-12-31 00:00:00,2014-01-01 00:00:00,,NJ,2
NJ0105398,NJ145239,2019-12-31 00:00:00,2017-01-01 00:00:00,,NJ,2
NJ0105398,NJ158840,2025-12-31 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0107001,NJ141390,2017-12-31 00:00:00,2015-01-01 00:00:00,,NJ,2
NJ0107001,NJ146064,2019-12-31 00:00:00,2019-07-01 00:00:00,,NJ,2
NJ0107001,NJ146721,2020-06-30 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0107001,NJ149570,2021-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0107001,NJ151536,2022-12-31 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0107001,NJ153482,2023-12-31 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0107001,NJ155837,2024-12-31 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0107001,NJ158117,2025-12-31 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0108002,NJ143095,2018-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0108002,NJ144634,2018-12-31 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0108002,NJ149784,2021-12-31 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0108002,NJ156013,2024-12-31 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0108003,NJ139368,2016-06-30 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0108003,NJ139369,2016-06-30 00:00:00,2016-01-01 00:00:00,,NJ,2
NJ0108003,NJ140470,2016-12-31 00:00:00,2016-07-01 00:00:00,,NJ,2
NJ0108003,NJ140934,2017-06-30 00:00:00,2017-01-01 00:00:00,,NJ,2
NJ0108003,NJ142248,2017-12-31 00:00:00,2017-07-01 00:00:00,,NJ,2
NJ0108003,NJ142552,2018-06-30 00:00:00,2018-01-01 00:00:00,,NJ,2
NJ0108003,NJ144779,2018-12-31 00:00:00,2018-07-01 00:00:00,,NJ,2
NJ0108003,NJ145171,2019-06-30 00:00:00,2019-01-01 00:00:00,,NJ,2
NJ0108003,NJ146354,2019-12-31 00:00:00,2019-07-01 00:00:00,,NJ,2
NJ0108003,NJ147820,2020-12-31 00:00:00,2020-01-01 00:00:00,,NJ,2
NJ0108003,NJ148894,2021-12-31 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0108003,NJ151756,2022-12-31 00:00:00,2022-01-01 00:00:00,,NJ,2
NJ0108003,NJ152982,2023-06-30 00:00:00,2023-01-01 00:00:00,,NJ,2
NJ0108003,NJ154473,2023-12-31 00:00:00,2023-07-01 00:00:00,,NJ,2
NJ0108003,NJ154962,2024-06-30 00:00:00,2024-01-01 00:00:00,,NJ,2
NJ0108003,NJ158470,2025-12-31 00:00:00,2025-01-01 00:00:00,,NJ,2
NJ0108004,NJ142009,2017-12-31 00:00:00,2015-01-01 00:00:00,,NJ,2
NJ0108004,NJ148745,2021-06-30 00:00:00,2021-01-01 00:00:00,,NJ,2
NJ0108004,NJ150413,2021-12-31 00:00:00,2021-07-01 00:00:00,,NJ,2
NJ0108004,NJ150896,2022-06-30 00:00:00,2022-01-01 00:00:00,,NJ,2
