pwsid,pws_action_level_exceedance_5y,pws_any_sample_gt15_3y,pws_lead_90p_latest_ppb,pws_sample_count_5y,pws_violation_count_5y
NJ0102001,False,False,0.0,1,0
NJ0102301,True,True,1.2,6,0
NJ0102302,False,False,0.0,10,0
NJ0103001,False,False,0.0,10,0
NJ0104003,False,False,0.0,1,0
NJ0105001,False,False,1.3,2,0
NJ0105002,False,False,10.0,2,0
NJ0105300,False,False,6.0200000000000005,4,0
NJ0105304,True,False,2.06,6,0
NJ0105309,False,False,2.4299999999999997,10,0
NJ0105315,True,True,0.0,10,0
NJ0105323,False,False,0.0,1,0
NJ0105331,False,False,0.0,1,0
NJ0105348,False,False,0.0,0,0
NJ0105350,False,False,0.0,10,0
NJ0105353,False,False,1.0,10,0
NJ0105360,False,False,0.0,2,0
NJ0105398,False,False,0.0,1,0
NJ0107001,False,False,2.0,5,0
NJ0108002,False,False,0.0,2,0
NJ0108003,False,False,0.0,6,0
NJ0108004,False,False,2.44,6,0
NJ0108005,False,False,0.0,10,0
NJ0108006,False,False,0.0,2,0
NJ0108009,False,False,0.0,5,0
NJ0108013,False,False,1.2,2,0
NJ0108014,False,False,1.0,5,0
NJ0108019,False,False,0.0,6,0
NJ0108023,False,False,1.1199999999999999,13,0
NJ0108303,False,False,0.0,2,0
NJ0108334,False,False,0.0,6,0
NJ0108352,False,False,0.0,6,0
NJ0108360,False,False,1.09,9,0
NJ0108388,False,False,0.0,8,0
NJ0108420,True,False,0.0,6,0
NJ0109302,False,False,1.4400000000000002,4,0
NJ0110300,False,False,0.0,1,0
NJ0110307,False,False,0.0,6,0
NJ0110309,False,False,1.56,3,0
NJ0110320,False,False,0.0,1,0
NJ0111004,False,False,0.27,5,0
NJ0111006,True,False,1.1900000000000002,5,0
NJ0111007,False,False,0.0,8,0
NJ0111304,False,False,0.92,2,0
NJ0111310,False,False,2.02,0,0
NJ0111375,False,False,0.0,7,0
NJ0111376,False,False,1.2,1,0
NJ0111393,False,False,2.11,0,0
NJ0111396,False,False,0.0,10,0
NJ0111405,False,False,4.0,1,0
NJ0111424,False,False,0.0,2,0
NJ0111431,False,False,0.38,2,0
NJ0111432,False,False,2.0,1,0
NJ0111441,False,False,0.0,4,0
NJ0111452,False,False,0.0,5,0
NJ0111456,False,False,1.66,3,0
NJ0111460,True,True,1.71,8,0
NJ0112001,False,False,1.86,2,0
NJ0112002,False,False,0.0,5,0
NJ0112324,False,False,8.07,5,0
NJ0112325,False,False,0.0,1,0
NJ0112348,False,False,2.0,0,0
NJ0112356,False,False,0.0,5,0
NJ0113001,False,False,0.5599999999999999,5,0
NJ0113302,False,False,3.28,1,0
NJ0113330,False,False,0.64,9,0
NJ0113357,False,False,0.16,10,0
NJ0115001,False,False,6.17,1,0
NJ0116001,False,False,1.36,2,0
NJ0117001,False,False,3.0,2,0
NJ0117303,False,False,0.0,5,0
NJ0117331,False,False,0.0,6,0
NJ0119001,False,False,0.0,9,0
NJ0119002,False,False,1.0,5,0
NJ0120307,False,False,0.0,2,0
NJ0122001,False,False,3.76,1,0
NJ0123001,False,False,0.0,2,0
NJ0123002,False,False,0.0,10,0
NJ0123300,False,False,3.52,3,0
NJ0201001,False,False,3.8899999999999997,2,0
NJ0211001,False,False,0.0,4,0
NJ0215300,True,False,2.18,9,0
NJ0217001,False,False,2.46,6,0
NJ0220001,False,False,3.75,7,0
NJ0220305,False,False,3.47,1,0
NJ0221001,False,False,3.4,2,0
NJ0228001,False,False,2.99,5,0
NJ0231001,False,False,0.85,2,0
NJ0232001,False,False,0.0,2,0
NJ0233001,False,False,4.38,2,0
NJ0233005,False,False,5.34,2,0
NJ0236001,False,False,2.3600000000000003,2,0
NJ0238001,False,False,11.0,8,0
NJ0239001,False,False,1.13,2,0
NJ0242001,False,False,3.32,2,0
NJ0247001,False,False,1.4,2,0
NJ0248001,False,False,0.0,2,0
NJ0251001,False,False,6.4,6,0
NJ0255306,False,False,0.0,5,0
NJ0257001,False,False,1.41,5,0
NJ0258001,False,False,0.662,2,0
NJ0263320,True,True,2.99,7,0
NJ0264001,False,False,8.48,4,0
NJ0265001,False,False,1.61,3,0
NJ0301001,False,False,2.33,1,0
NJ0301300,False,False,0.0,1,0
NJ0301323,True,False,54.0,1,0
NJ0303001,False,False,1.33,7,0
NJ0304306,False,False,0.0,2,0
NJ0305001,False,False,0.0,7,0
NJ0306001,False,False,0.0,5,0
NJ0306303,False,False,5.0,5,0
NJ0306306,False,False,17.0,0,0
NJ0306307,False,False,3.0,1,0
NJ0306308,False,False,2.1,0,0
NJ0307002,False,False,1.6,7,0
NJ0307302,False,False,2.97,1,0
NJ0307304,False,False,3.7,0,0
NJ0310300,False,False,8.0,2,0
NJ0310301,True,False,0.0,7,0
NJ0311001,False,False,0.0,2,0
NJ0311002,False,False,0.0,3,0
NJ0313001,False,False,1.4,2,0
NJ0313300,False,False,1.77,2,0
NJ0314001,True,False,1.46,10,0
NJ0315001,False,False,0.0,2,0
NJ0315301,False,False,3.4,6,0
NJ0317303,False,False,0.0,0,0
NJ0317304,False,False,0.0,0,0
NJ0317306,False,False,1.01,6,0
NJ0318002,False,False,5.0,2,0
NJ0318303,False,False,0.0,2,0
NJ0318306,False,False,0.0,6,0
NJ0318310,False,False,0.0,2,0
NJ0318312,False,False,0.7,2,0
NJ0318314,False,False,0.0,2,0
NJ0318315,False,False,0.0,2,0
NJ0319001,False,False,0.0,3,0
NJ0320001,False,False,0.0,2,0
NJ0320002,False,False,2.72,5,0
NJ0320303,False,False,0.0,2,0
NJ0320310,True,False,5.41,3,0
NJ0320327,False,False,7.0,2,0
NJ0320332,False,False,4.3,1,0
NJ0320334,False,False,0.0,5,0
NJ0320342,False,False,3.0,0,0
NJ0320347,True,False,0.0,7,0
NJ0320348,False,False,2.77,2,0
NJ0320361,False,False,0.0,2,0
NJ0321302,False,False,0.0,3,0
NJ0321303,False,False,2.96,7,0
NJ0322001,False,False,1.8,5,0
NJ0323001,False,False,3.0,5,0
NJ0324001,False,False,1.7,8,0
NJ0324300,False,False,1.61,4,0
NJ0325001,False,False,0.3,2,0
NJ0326001,False,False,0.0,2,0
NJ0326003,False,False,0.0,2,0
NJ0326004,False,False,0.0,2,0
NJ0326005,False,False,1.33,1,0
NJ0326006,False,False,0.8,2,0
NJ0326007,False,False,1.4,2,0
NJ0326008,False,False,2.8,2,0
NJ0326009,False,False,0.0,2,0
NJ0326012,False,False,0.0,0,0
NJ0326013,False,False,0.0,1,0
NJ0326014,False,False,0.0,1,0
NJ0326304,False,False,4.0,1,0
NJ0326323,False,False,0.0,5,0
NJ0326324,False,False,0.0,8,0
NJ0326325,False,False,0.0,0,0
NJ0327001,False,False,1.0,5,0
NJ0328001,False,False,0.71,2,0
NJ0329001,False,False,1.6,1,0
NJ0329002,False,False,2.1,4,0
NJ0329003,False,False,0.0,2,0
NJ0329004,False,False,1.25,2,0
NJ0329005,False,False,1.26,5,0
NJ0329006,False,False,0.0,1,0
NJ0329008,False,False,0.0,2,0
NJ0329009,False,False,0.0,2,0
NJ0329301,True,True,5.52,4,0
NJ0329302,True,True,6.97,4,0
NJ0329303,False,False,1.45,2,0
